category,subcategory,date,location,payee,description,method,amount
Food/Drink,,1/18/12,,,Escape From New York415-4210700 Ca,,770
Food/Drink,,1/18/12,,,The Citrus Club San Francisco Ca,,3296
Airlines / Transportation,,1/19/12,,,Yellow Card Services I San Francisco Ca,,1100
Food/Drink,,1/19/12,,,Starbucks Corp06288 San Francisco Ca,,195
Food/Drink,,1/19/12,,,El Faro Mexican Foods San Francisco Ca,,808
Food/Drink,,1/20/12,,,Ayola (Kearny) San Francisco Ca,,960
Groceries,,1/20/12,,,Superette Marke San Francisco,,2844
Auto/Transportation,,1/21/12,,,Union 76 San Francisco Ca,,4580
Groceries,,1/21/12,,,Arguello Supermark San Francisco Ca,,1814
Shopping,,1/21/12,,,Best Buy #1125 San Francisco,,2384
Food/Drink,,1/22/12,,,Dominos 8515415-821-9700 Ca,,4427
Groceries,,1/22/12,,,Falletti Foods San Francisco,,1811
Credit Card/Loan Payments,,1/23/12,,,"Acs Express Pay Echeck Pay 120120 A102995851 Lawrence, Travis R",,21031
Food/Drink,,1/23/12,,,New Asian Chinese Rest San Francisco Ca,,796
Food/Drink,,1/24/12,,,Starbucks Corp06288 San Francisco Ca,,225
Food/Drink,,1/24/12,,,Quiznos San Francisco Ca,,704
Food/Drink,,1/24/12,,,The Little Chihuahua - San Francisco Ca,,2051
Insurance/Financial,,1/24/12,,,Household-State Farm Insurance Companies,,2800
Cash/ATM,,1/25/12,,,ATM Withdrawal - 0075Q 1 Montgomery St San Francisco Ca,,6000
Food/Drink,,1/25/12,,,Chipotle 0839 San Francisco Ca,,819
Food/Drink,,1/26/12,,,Subway00121814 San Francisco Ca,,706
Groceries,,1/26/12,,,Safeway Store San Francisco,,1148
Office Supplies/Furniture,,1/26/12,,,Office Depot 00 San Francisco,,3752
Auto/Transportation,,1/27/12,,,Fastrak Csc 877-2298655 Ca,,3000
Shopping,,1/27/12,,,Amazon Mktplace Pmtsamzn.Com/Billwa,,614
Food/Drink,,1/28/12,,,Squat And Gobble C San Francisco Ca,,3665
Food/Drink,,1/31/12,,,Patxis Pizzasan Francisco,,3253
Food/Drink,,2/1/12,,,Escape From New Yorksan Francisco Ca,,813
Groceries,,2/1/12,,,Safeway Store San Francisco,,898
Insurance/Financial,,2/1/12,,,Utilities-Telco-State Farm Insurance Companies,,4785
Shopping,,2/1/12,,,Amazon Mktplace Pmtsamzn.Com/Bill Wa,,1084
Bills/Utilities,,2/2/12,,,Household-Pacific Gas & Electric (Pg&E),,3270
Bills/Utilities,,2/2/12,,,Utilities-Telco-Comcast Cable Communications (16-Digit Account Num,,15021
Food/Drink,,2/2/12,,,Starbucks Corp06288 San Francisco Ca,,195
Food/Drink,,2/2/12,,,Subway00121814 San Francisco Ca,,922
Mortgage / Rent,,2/2/12,,,Mortgage - Rent-Jackson Square West Hoa,,32522
Mortgage / Rent,,2/2/12,,,Mortgage - Rent-Wells Fargo Home Mortgage-708 (First 3 Digits On Payment Coupon),,266101
Personal Care,,2/2/12,,,Shine Hair Styles San Francisco Ca,,2100
Shopping,,2/2/12,,,46 City Park Goodwillsan Francisco,,800
Cash/ATM,,2/3/12,,,ATM Withdrawal - 2230M San Francisco Sfway # San Francisco Ca,,8000
Food/Drink,,2/3/12,,,"Chaat Cafe Express, Ll San Francisco Ca",,985
Auto/Transportation,,2/4/12,,,Quality Tune Up 14 San Francisco Ca,,4443
Bills/Utilities,,2/4/12,,,Utilities-Telco-At&T Mobility,,9058
Food/Drink,,2/4/12,,,Kens Kitchensan Francisco,,2625
Groceries,,2/4/12,,,Superette Marke San Francisco,,1000
Cash/ATM,,2/6/12,,,ATM Withdrawal - 0075O 1 Montgomery St San Francisco Ca,,6000
Food/Drink,,2/8/12,,,Chipotle 0839 San Francisco Ca,,819
Shopping,,2/8/12,,,Apl*Apple Itunes Store 866-712-7753 Ca,,498
Auto/Transportation,,2/9/12,,,Shell Service S San Francisco,,4437
Food/Drink,,2/9/12,,,Starbucks Corp06288 San Francisco Ca,,195
Food/Drink,,2/9/12,,,Jack In The Box 552 San Francisco Ca,,833
Credit Card/Loan Payments,,2/10/12,,,Credit Card-Bank Of America Credit Card,,180000
Food/Drink,,2/10/12,,,Cheesecake San Francis San Francisco Ca,,2314
Food/Drink,,2/10/12,,,Indian Oven San Francisco Ca,,3781
Home,,2/10/12,,,State Farm Insurance800-956-6310Il,,11300
Cash/ATM,,2/11/12,,,ATM Withdrawal - A103396 298 Divisadero Owner Fillsan Francisco,,8225
Credit Card/Loan Payments,,2/11/12,,,Credit Card-Bank Of America Credit Card,,5000
Food/Drink,,2/11/12,,,Ragazza Llc Sanfranciso Ca,,8561
Groceries,,2/13/12,,,Safeway Store San Francisco,,3667
Shopping,,2/13/12,,,Paypal *2Checkoutco 877-294-0273 Oh,,1100
Food/Drink,,2/14/12,,,Luna Parksan Francisco,,12442
Shopping,,2/14/12,,,Apl*Apple Itunes Store 866-712-7753 Ca,,199
Food/Drink,,2/15/12,,,Ayola (Kearny) San Francisco Ca,,960
Food/Drink,,2/16/12,,,Starbucks Corp06288 San Francisco Ca,,195
Food/Drink,,2/16/12,,,Lee'S Deli San Francisco Ca,,800
Shopping,,2/16/12,,,Paypal *Buy Com402-935-7733Ca,,19040
Shopping,,2/16/12,,,Paypal *Buy Com402-935-7733Ca,,19040
Auto/Transportation,,2/17/12,,,Bart-Clipper Mo San Francisco,,4000
Cash/ATM,,2/17/12,,,ATM Withdrawal - 0075O 1 Montgomery St San Francisco Ca,,6000
Credit Card/Loan Payments,,2/17/12,,,"Acs Express Pay Echeck Pay 120216 A102995851 Lawrence, Travis R",,21031
Credit Card/Loan Payments,,2/17/12,,,Credit Card-Capital One Credit Card,,161449
Food/Drink,,2/17/12,,,Sawaii Sushisan Francisco Ca,,1851
Other Spending,,2/17/12,,,Ref*Pborb1940111734888-656-4546I,,699
Other Spending,,2/17/12,,,Alaska Air 0277012981713Seattlewa,,21960
Shopping,,2/17/12,,,Paypal Inst Xfer 120217 4Jt225Mdggjye Travis Lawrence,,6600
Groceries,,2/19/12,,,Falletti Foods San Francisco Ca,,1626
Food/Drink,,2/20/12,,,Dominos 8515San Francisco Ca,,2620
Food/Drink,,2/20/12,,,The Citrus Club San Francisco Ca,,3353
Shopping,,2/20/12,,,Hostrocket.Com518-3713421Ny,,2000
Cash/ATM,,2/21/12,,,ATM Withdrawal - 0075Q 1 Montgomery St San Francisco Ca,,6000
Shopping,,2/21/12,,,Amazon.Com Amzn.Com/Bill Wa,,21439
Insurance/Financial,,2/22/12,,,Household-State Farm Insurance Companies,,2800
Auto/Transportation,,2/23/12,,,Shell Service S San Francisco,,4964
Food/Drink,,2/23/12,,,21St Amendment Bresan Francisco,,8437
Food/Drink,,2/24/12,,,Starbucks Corp06288 San Francisco Ca,,450
Food/Drink,,2/24/12,,,Chipotle 0839 San Francisco Ca,,819
Groceries,,2/24/12,,,Superette Marke San Francisco,,1312
Auto/Transportation,,2/25/12,,,Fastrak Csc 877-2298655 Ca,,3000
Cash/ATM,,2/25/12,,,ATM Withdrawal - 4258A San Francisco Divisad San Francisco Ca,,10000
Groceries,,2/25/12,,,Safeway Store Healdsburg Ca,,2005
Auto/Transportation,,2/27/12,,,38Th Gas & Mart Oakland Ca,,4776
Shopping,,2/28/12,,,Gamestop #5145 San Francisco,,919
Food/Drink,,2/29/12,,,El Faro Mexican Foods San Francisco Ca,,998
Food/Drink,,2/29/12,,,Burgermeister Castrosan Francisco Ca,,1266
Insurance/Financial,,2/29/12,,,Utilities-Telco-State Farm Insurance Companies,,4785
Auto/Transportation,,3/1/12,,,Chevron/R & R P Fairfieldca,,3672
Food/Drink,,3/1/12,,,Subway00121814 San Francisco Ca,,841
Shopping,,3/1/12,,,Sports Basement San Francisco,,31600
Bills/Utilities,,3/2/12,,,Household-Pacific Gas & Electric (Pg&E),,3335
Other Spending,,3/2/12,,,St Of Calif Dmv-Intern 916-6578943 Ca,,12600
Bills/Utilities,,3/3/12,,,Utilities-Telco-At&T Mobility,,9058
Auto/Transportation,,3/4/12,,,Vallejo Gas & Shop Vallejo Ca,,4806
Auto/Transportation,,3/5/12,,,Fastrak Csc 877-2298655 Ca,,3000
Food/Drink,,3/5/12,,,Escape From New York415-4210700 Ca,,580
Food/Drink,,3/6/12,,,Plutos Sf Sunsetsan Francisco Ca,,700
Food/Drink,,3/6/12,,,Plutos Sf Sunsetsan Francisco Ca,,1996
Mortgage / Rent,,3/6/12,,,Mortgage - Rent-Jackson Square West Hoa,,32522
Food/Drink,,3/7/12,,,Ayola (Kearny) San Francisco Ca,,960
Food/Drink,,3/7/12,,,Indian Oven San Francisco Ca,,3864
Food/Drink,,3/8/12,,,Mcdonald'S F4499San Francisco Ca,,1018
Food/Drink,,3/8/12,,,Goat Hill Pizza San Francisco Ca,,1700
Food/Drink,,3/8/12,,,Goat Hill Pizza San Francisco Ca,,1918
Mortgage / Rent,,3/8/12,,,Mortgage - Rent-Wells Fargo Home Mortgage-708 (First 3 Digits On Payment Coupon),,266101
Cash/ATM,,3/9/12,,,ATM Withdrawal - Cs40285 1337 Grant Stre1337 Grantsan Francisco,,6250
Credit Card/Loan Payments,,3/9/12,,,Other Spending-Barry Williams,,220000
Food/Drink,,3/9/12,,,Subway00121814 San Francisco Ca,,915
Food/Drink,,3/9/12,,,Elephant & Castle - Sa San Francisco Ca,,2700
Bills/Utilities,,3/10/12,,,Msft *Xbox Live Bill.Xbox.Com Wa,,1999
Bills/Utilities,,3/10/12,,,Utilities-Telco-Comcast Cable Communications (16-Digit Account Num,,6626
Cash/ATM,,3/10/12,,,ATM Withdrawal - 4258A San Francisco Divisad San Francisco Ca,,6000
Credit Card/Loan Payments,,3/10/12,,,Credit Card-Capital One Credit Card,,121056
Food/Drink,,3/10/12,,,15 Romolo San Francisco Ca,,5015
Food/Drink,,3/11/12,,,Burgermeister Castrosan Francisco Ca,,1913
Food/Drink,,3/12/12,,,In-N-Out Burger Mountain View Ca,,687
Health,,3/12/12,,,Walgreens 141 K San Francisco,,1662
Food/Drink,,3/13/12,,,New Asian Chinese Rest San Francisco Ca,,796
Shopping,,3/13/12,,,Paypal *2Checkoutco 877-294-0273 Oh,,1100
Auto/Transportation,,3/15/12,,,Shell Oil 57444260004Mountain Viewca,,5360
Food/Drink,,3/15/12,,,Chili Upsan Francisco Ca,,950
Food/Drink,,3/15/12,,,The Little Chihuahua -San Francisco,,2051
Shopping,,3/15/12,,,Apl*Apple Itunes Store 866-712-7753 Ca,,2499
Checks Written,,3/16/12,,,check #2013,,17500
Food/Drink,,3/16/12,,,New Asian Chinese Rest San Francisco Ca,,796
Food/Drink,,3/16/12,,,Dominos 8515415-821-9700Ca,,2900
Home,,3/16/12,,,Sam'S Smoke Shopsan Francisco,,7595
Credit Card/Loan Payments,,3/17/12,,,Other Spending-Citi Cards,,20000
Food/Drink,,3/17/12,,,Memphis Minnies San Francisco Ca,,1302
Food/Drink,,3/17/12,,,Nickie'Ssan Francisco Ca,,5200
Postage / Delivery,,3/17/12,,,Ups*1Z161Y6V4298789098 800-811-1648 Ga,,500
Food/Drink,,3/19/12,,,Bistro Burger Bush San Francisco Ca,,2426
Cash/ATM,,3/20/12,,,ATM Withdrawal - 2315M San Francisco Airport San Francisco Ca,,6000
Credit Card/Loan Payments,,3/20/12,,,"Acs Express Pay Echeck Pay 120319 A102995851 Lawrence, Travis R",,21031
Entertainment,,3/20/12,,,Dave & Busters 10 Powe Ontarioa Ca,,2700
Auto/Transportation,,3/21/12,,,Bart-Clipper Mo San Francisco,,3300
Food/Drink,,3/21/12,,,Cafe Venue San Francisco Ca,,857
Food/Drink,,3/21/12,,,Ragazza Llc Sanfranciso Ca,,3580
Food/Drink,,3/22/12,,,Lee'S Deli San Francisco Ca,,755
Food/Drink,,3/23/12,,,Peet'S Coffee San Francisco Ca,,230
Food/Drink,,3/23/12,,,Subway00121814 San Francisco Ca,,834
Food/Drink,,3/23/12,,,Fly San Francisco Ca,,1600
Food/Drink,,3/23/12,,,Olive Sfsan Francisco,,4343
Insurance/Financial,,3/23/12,,,Household-State Farm Insurance Companies,,2800
Food/Drink,,3/24/12,,,Bar Crudo San Francisco Ca,,10897
Shopping,,3/24/12,,,Apl*Apple Itunes Store 866-712-7753 Ca,,99
Food/Drink,,3/25/12,,,Dominos 8515415-821-9700 Ca,,2149
Food/Drink,,3/25/12,,,Burgermeister Castrosan Francisco Ca,,2194
Groceries,,3/25/12,,,Superette Marke San Francisco,,2937
Groceries,,3/26/12,,,Safeway Store San Francisco,,6781
Transfers to other Wells Fargo Accounts,,3/26/12,,,Transfer To Blakely Daniel Ref #Ppe59Vs8Z2For The Weekend,,5000
Food/Drink,,3/27/12,,,New Asian Chinese Rest San Francisco Ca,,682
Food/Drink,,3/28/12,,,Lee'S Deli San Francisco Ca,,745
Other Insurance/Financial,,3/28/12,,,Cashed/Deposited Item Retn Unpaid Fee,,1200
Auto/Transportation,,3/29/12,,,Shell Oil 57444677801 San Francisco Ca,,5209
Food/Drink,,3/29/12,,,Subway 00121814 San Francisco Ca,,922
Food/Drink,,3/29/12,,,Plutos Sf Sunset San Francisco Ca,,2273
Groceries,,3/29/12,,,Safeway Store San Francisco,,849
Shopping,,3/29/12,,,Apl*Apple Itunes Store 866-712-7753 Ca,,99
Food/Drink,,3/30/12,,,Chili Up San Francisco Ca,,970
Other Spending,,3/30/12,,,Roku Inc 888-600-7658 Ca,,11390
Groceries,,3/31/12,,,Arguello Superm San Francisco,,8387
Insurance/Financial,,3/31/12,,,Other Insurance/Financial-State Farm Insurance Companies,,4785
Food/Drink,,4/1/12,,,Mr. Smith San Francisco Ca,,100
Food/Drink,,4/1/12,,,Mr. Smith San Francisco Ca,,1500
Food/Drink,,4/1/12,,,Dominos 8515 415-821-9700 Ca,,2474
Bills/Utilities,,4/3/12,,,Gas/Electric-Pacific Gas & Electric (Pg&E),,3039
Mortgage / Rent,,4/3/12,,,Mortgage Payments-Jackson Square West Hoa,,32522
Bills/Utilities,,4/4/12,,,Phone/Internet-At&T Mobility,,9058
Food/Drink,,4/6/12,,,Niji Japanese Grille San Francisco Ca,,1031
Food/Drink,,4/6/12,,,The Little Chihuahua - San Francisco Ca,,2317
Bills/Utilities,,4/7/12,,,Other Bills/Utilities-Comcast Cable Communications (16-Digit Account Num,,6626
Cash/ATM,,4/9/12,,,ATM Withdrawal - 04/07 2607I 120 Kearny St San Francisco Ca,,6000
Food/Drink,,4/9/12,,,Starbucks Corp06643 San Francisco Ca,,1230
Food/Drink,,4/9/12,,,Eat24Hours Com Eat24Hour.Com Ca,,1835
Food/Drink,,4/9/12,,,Lettus San Francisco Ca,,3369
Food/Drink,,4/9/12,,,Indian Oven San Francisco Ca,,4664
Groceries,,4/9/12,,,Superette Marke San Francisco,,3157
Groceries,,4/9/12,,,Safeway 1507 San Francisco,,9950
Other Spending,,4/9/12,,,S F M T A Parking San Francisco Ca,,400
Other Spending,,4/9/12,,,Sports Basement San Francisco Ca,,13400
Auto/Transportation,,4/10/12,,,Shell Service S San Francisco,,5086
Credit Card/Loan Payments,,4/10/12,,,Non-Wells Fargo Credit Card Payments-Capital One Credit Card,,95408
Food/Drink,,4/10/12,,,Noah'S Bagels #2147 San Francisco Ca,,1336
Food/Drink,,4/11/12,,,Ayola (Kearny) San Francisco Ca,,949
Mortgage / Rent,,4/11/12,,,Mortgage Payments Wells Fargo Home Mortgage,,266101
Personal Care,,4/11/12,,,Shine Hair Styles San Francisco Ca,,2100
Auto/Transportation,,4/12/12,,,Bart Clipper Mo San Francisco,,3200
Office Supplies/Furniture,,4/12/12,,,Usps 0568470052 San Francisco,,759
Shopping,,4/13/12,,,Apl*Apple Itunes Store 866-712-7753 Ca,,99
Auto/Transportation,,4/16/12,,,Recur Debit Crd Pmt04/13 Fastrak Csc 877-2298655 Ca,,3000
Cash/ATM,,4/16/12,,,ATM Withdrawal - 04/14 9818F Hollywood Rose City Los Angeles Ca,,6000
Food/Drink,,4/16/12,,,Escape From New York 415-4210700 Ca,,770
Food/Drink,,4/16/12,,,Ayola (Kearny) San Francisco Ca,,977
Food/Drink,,4/16/12,,,Dillons Irish Pub Los Angeles Ca,,3115
Food/Drink,,4/16/12,,,Grub Los Angeles Ca,,4993
Food/Drink,,4/16/12,,,Go Burger La Los Angeles Ca,,5142
Groceries,,4/16/12,,,Trader Joe'S #2 Los Angeles Ca,,837
Other Spending,,4/16/12,,,Nike.Com 800-806-6453 Or,,16167
Shopping,,4/16/12,,,Recur Debit Crd Pmt04/14 Paypal *2Checkoutco 877-294-0273 Oh,,1100
Auto/Transportation,,4/17/12,,,76 Oakland Ca,,1999
Auto/Transportation,,4/17/12,,,Shell Oil 57444677801 San Francisco Ca,,5209
Credit Card/Loan Payments,,4/17/12,,,Non Wells Fargo Credit Card Payments Citi Cards,,10000
Credit Card/Loan Payments,,4/17/12,,,"Acs Express Pay Echeck Pay 120416 A102995851 Lawrence, Travis R",,21031
Cash/ATM,,4/18/12,,,ATM Withdrawal - 04/18 2315P San Francisco Airport San Francisco Ca,,6000
Food/Drink,,4/18/12,,,Starbucks Corp06288 San Francisco Ca,,490
Office Supplies/Furniture,,4/18/12,,,Office Depot 00 San Francisco,,867
Food/Drink,,4/19/12,,,Subway 00121814 San Francisco Ca,,796
Food/Drink,,4/19/12,,,Gordo Taqueria - C San Francisco Ca,,1604
Groceries,,4/19/12,,,Superette Market San Francisco Ca,,1067
Food/Drink,,4/20/12,,,Mr. Smith San Francisco Ca,,100
Food/Drink,,4/20/12,,,Subway 00121814 San Francisco Ca,,922
Groceries,,4/23/12,,,Arguello Superm San Francisco,,8387
Shopping,,4/23/12,,,Apl*Apple Itunes Store 866-712-7753 Ca,,99
Auto/Transportation,,4/24/12,,,Bart Clipper Mo San Francisco,,2000
Food/Drink,,4/24/12,,,Mr. Smith San Francisco Ca,,1500
Insurance/Financial,,4/24/12,,,Other Insurance/Financial-State Farm Insurance Companies,,2900
Other Spending,,4/24/12,,,Roku Inc 888-600-7658 Ca,,-11390
Shopping,,4/24/12,,,Apl*Apple Itunes Store 866-712-7753 Ca,,199
Cash/ATM,,4/25/12,,,ATM Withdrawal - 04/25 0075Q 1 Montgomery St San Francisco Ca,,6000
Food/Drink,,4/25/12,,,New Asian Chinese Rest San Francisco Ca,,796
Food/Drink,,4/25/12,,,The Little Chihuahua - San Francisco Ca,,1026
Groceries,,4/25/12,,,Safeway Store San Francisco,,2857
Mortgage / Rent,,4/25/12,,,Mortgage Payments-Jackson Square West Hoa,,32522
Auto/Transportation,,4/26/12,,,Chevron/Csi-090 San Francisco,,4500
Food/Drink,,4/28/12,,,At&T Park Concess San Francisco Ca,,1550
Food/Drink,,4/28/12,,,At&T Park Concess San Francisco Ca,,1900
Food/Drink,,4/28/12,,,Ragazza Llc Sanfranciso Ca,,9012
Groceries,,4/28/12,,,Falletti Foods San Francisco Ca,,1071
Food/Drink,,4/29/12,,,Peets 12902 San Francisco Ca,,2045
Food/Drink,,4/29/12,,,Sc Asian Mus San Francisco Ca,,2830
Groceries,,4/29/12,,,Falletti Foods San Francisco,,2874
Food/Drink,,4/30/12,,,Bills Place San Francisco Ca,,2739
Food/Drink,Groceries,5/1/12,,FALLETTI FOODS,CHECK CRD PURCHASE 04/29 FALLETTI FOODS SAN FRANCISCO CA 434256XXXXXX3671 122240003618354 ?MCC=5411 90,Debit Card/ATM Card XXXX-XXXX-XXXX-3671,619
Bills/Utilities,Gas/Electric,5/2/12,SACRAMENTO,PACIFIC GAS & ELECTRIC (PG&E),Gas/Electric-PACIFIC GAS & ELECTRIC (PG&E),PMA Checking XXXXXX5366,3321
Food/Drink,Fast Food,5/2/12,,JAMBA JUICE,CHECK CRD PURCHASE 04/30 JAMBA JUICE #91 SAN FRANCISCO CA 434256XXXXXX3671 123240004233305 ?MCC=5814 90,Debit Card/ATM Card XXXX-XXXX-XXXX-3671,525
Food/Drink,Groceries,5/2/12,,SAFEW,POS PURCHASE - SAFEWAY 1507 SAN FRANCISCOCA 3671 0988237 ?MCC=5411,Debit Card/ATM Card XXXX-XXXX-XXXX-3671,5128
Insurance/Financial,Other Insurance/Financial,5/2/12,DALLAS,STATE FARM INSURANCE COMPANIES,Other Insurance/Financial-STATE FARM INSURANCE COMPANIES,PMA Checking XXXXXX5366,4785
Food/Drink,Fast Food,5/3/12,,AT&T PARK CONCESS,CHECK CRD PURCHASE 04/28 AT&T PARK CONCESS SAN FRANCISCO CA 434256XXXXXX3671 124240006573681 ?MCC=5814 90,Debit Card/ATM Card XXXX-XXXX-XXXX-3671,1550
Food/Drink,Fast Food,5/3/12,,AT&T PARK CONCESS,CHECK CRD PURCHASE 04/28 AT&T PARK CONCESS SAN FRANCISCO CA 434256XXXXXX3671 124240006573656 ?MCC=5814 90,Debit Card/ATM Card XXXX-XXXX-XXXX-3671,1900
Food/Drink,Restaurants,5/3/12,,BILLS PLACE,CHECK CRD PURCHASE 04/30 BILLS PLACE SAN FRANCISCO CA 434256XXXXXX3671 124240006386738 ?MCC=5812 90,Debit Card/ATM Card XXXX-XXXX-XXXX-3671,2739
Bills/Utilities,Phone/Internet,5/4/12,LOS ANGELES,AT&T MOBILITY,Phone/Internet-AT&T MOBILITY,PMA Checking XXXXXX5366,9049
Credit Card/Loan Payments,Mortgage Payments,5/4/12,Vallejo,JACKSON SQUARE WEST HOA,Mortgage Payments-Jackson Square West HOA,PMA Checking XXXXXX5366,32522
Food/Drink,Fast Food,5/4/12,,NEW ASIAN CHINESE REST,CHECK CRD PURCHASE 05/02 NEW ASIAN CHINESE REST SAN FRANCISCO CA 434256XXXXXX3671 125240006567590 ?MCC=5814 90,Debit Card/ATM Card XXXX-XXXX-XXXX-3671,796
Food/Drink,Groceries,5/4/12,,SUPERETTE MARKE,POS PURCHASE - SUPERETTE MARKE SAN FRANCISCOCA 3671 00000032326434545 ?MCC=5499,Debit Card/ATM Card XXXX-XXXX-XXXX-3671,882
Food/Drink,Restaurants,5/4/12,,CAFE VENUE,CHECK CRD PURCHASE 05/03 CAFE VENUE SAN FRANCISCO CA 434256XXXXXX3671 125240006991769 ?MCC=5812 90,Debit Card/ATM Card XXXX-XXXX-XXXX-3671,857
Food/Drink,Restaurants,5/4/12,,ESCAPE FROM,CHECK CRD PURCHASE 05/01 ESCAPE FROM NEW YORK 415-4210700 CA 434256XXXXXX3671 125240005514513 ?MCC=5812 90,Debit Card/ATM Card XXXX-XXXX-XXXX-3671,813
Food/Drink,Groceries,5/7/12,,FALLETTI FOODS,POS PURCHASE - FALLETTI FOODS SAN FRANCISCOCA 3671 00302127789224945 ?MCC=5411,Debit Card/ATM Card XXXX-XXXX-XXXX-3671,2303
Food/Drink,Groceries,5/7/12,,FRESH EASY,POS PURCHASE - FRESH EASY 1 SAN FRANCISC CA 3671 00000212665472644 ?MCC=5411,Debit Card/ATM Card XXXX-XXXX-XXXX-3671,7114
Food/Drink,Groceries,5/7/12,,SUPERETTE MARKET,CHECK CRD PURCHASE 05/04 SUPERETTE MARKET SAN FRANCISCO CA 434256XXXXXX3671 128240009100028 ?MCC=5499 90,Debit Card/ATM Card XXXX-XXXX-XXXX-3671,2031
Auto/Transportation,Parking/Tolls,5/8/12,,PRIORITY PRKG,CHECK CRD PURCHASE 05/08 PRIORITY PRKG 35 KEARN SAN FRANCISCO CA 434256XXXXXX3671 129240008470415 ?MCC=7523 90,Debit Card/ATM Card XXXX-XXXX-XXXX-3671,3200
Food/Drink,Groceries,5/8/12,,FALLETTI FOODS,CHECK CRD PURCHASE 05/06 FALLETTI FOODS SAN FRANCISCO CA 434256XXXXXX3671 129240003665873 ?MCC=5411 90,Debit Card/ATM Card XXXX-XXXX-XXXX-3671,1137
Credit Card/Loan Payments,Mortgage Payments,5/9/12,LOS ANGELES,WELLS FARGO HOME MORTGAGE,Mortgage Payments-WELLS FARGO HOME MORTGAGE-708 (FIRST 3 DIGITS ON PAYMENT COUPON),PMA Checking XXXXXX5366,266101
Credit Card/Loan Payments,Non-Wells Fargo Credit Card Payments,5/9/12,CITY OF INDUSTRY,CAPITAL ONE CREDIT CARD,Card Payments (non-WF)-CAPITAL ONE CREDIT CARD,PMA Checking XXXXXX5366,264000
Health,Pharmacy,5/9/12,,WALGREE,POS PURCHASE - WALGREENS 2145 SAN FRANCISCOCA 3671 00462130060348705 ?MCC=5912,Debit Card/ATM Card XXXX-XXXX-XXXX-3671,1395
Miscellaneous,Fees/Service Charges/Dues,5/9/12,,FASTRAK CSC,RECUR DEBIT CRD PMT05/08 FASTRAK CSC 877-2298655 CA 434256XXXXXX3271 130240007050152 ?MCC=9399 01,Debit Card/ATM Card XXXX-XXXX-XXXX-3271,3000
Bills/Utilities,Other Bills/Utilities,5/10/12,SEATTLE,COMCAST CABLE COMMUNICATIONS (16-DIGIT ACCOUNT NUM,Other Bills/Utilities-COMCAST CABLE COMMUNICATIONS (16-DIGIT ACCOUNT NUM,PMA Checking XXXXXX5366,6626
Food/Drink,Restaurants,5/10/12,,AYOLA (KEARNY),CHECK CRD PURCHASE 05/08 AYOLA (KEARNY) SAN FRANCISCO CA 434256XXXXXX3671 131240003447061 ?MCC=5812 90,Debit Card/ATM Card XXXX-XXXX-XXXX-3671,977
Cash/ATM,Non-Wells Fargo ATM,5/11/12,,,ATM WITHDRAWAL - 13 10 MARK LN. 10 MARK LNSAN FRANCISCOCA 3671 00582132692223766,Debit Card/ATM Card XXXX-XXXX-XXXX-3671,4300
Food/Drink,Fast Food,5/11/12,,DARN GOOD FOOD,CHECK CRD PURCHASE 05/10 DARN GOOD FOOD SAN FRANCISCO CA 434256XXXXXX3671 132240004539611 ?MCC=5814 90,Debit Card/ATM Card XXXX-XXXX-XXXX-3671,1237
Food/Drink,Groceries,5/11/12,,FALLETTI FOODS,CHECK CRD PURCHASE 05/09 FALLETTI FOODS SAN FRANCISCO CA 434256XXXXXX3671 132240003997206 ?MCC=5411 90,Debit Card/ATM Card XXXX-XXXX-XXXX-3671,1113
Food/Drink,Restaurants,5/11/12,,EL FARO MEXICAN FOODS,CHECK CRD PURCHASE 05/10 EL FARO MEXICAN FOODS SAN FRANCISCO CA 434256XXXXXX3671 132240006596692 ?MCC=5812 90,Debit Card/ATM Card XXXX-XXXX-XXXX-3671,1009
Uncategorized Payments,Electronic Payments,5/11/12,,PAYPAL,PAYPAL INST XFER 120511 4JT225V6MR4NS TRAVIS LAWRENCE PAYPALSI66 4JT225V6MR4NS 0,Old Checking XXXXXX5384,500
Auto/Transportation,Gasoline,5/14/12,,SHELL OIL,CHECK CRD PURCHASE 05/10 SHELL OIL 57444677801 SAN FRANCISCO CA 434256XXXXXX3671 134240014774655 ?MCC=5542 90,Debit Card/ATM Card XXXX-XXXX-XXXX-3671,5362
Food/Drink,Fast Food,5/14/12,,PEETS COFFEE AND TEA,CHECK CRD PURCHASE 05/12 PEETS 12902 SAN FRANCISCO CA 434256XXXXXX3671 134240011910711 ?MCC=5814 90,Debit Card/ATM Card XXXX-XXXX-XXXX-3671,1595
Food/Drink,Restaurants,5/14/12,,THE GRIND CAFE,CHECK CRD PURCHASE 05/13 THE GRIND CAFE SAN FRANCISCO CA 434256XXXXXX3671 135240011605468 ?MCC=5812 90,Debit Card/ATM Card XXXX-XXXX-XXXX-3671,3000
Uncategorized Payments,Checks Written,5/14/12,,,CHECK,Old Checking XXXXXX5384,30000
Uncategorized Payments,Checks Written,5/14/12,,,CHECK,Old Checking XXXXXX5384,5000
Auto/Transportation,Parking/Tolls,5/15/12,,ACE PARKING PS,CHECK CRD PURCHASE 05/14 ACE PARKING PS #4149 SAN FRANCISCO CA 434256XXXXXX3671 136240004941420 ?MCC=7523 90,Debit Card/ATM Card XXXX-XXXX-XXXX-3671,400
